Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.847836	3.457991	10.682000	16.660000	
0.100000	3.008316	2.942311	24.452000	27.619999	
0.100000	2.469440	2.410543	34.993999	37.529999	
0.100000	2.134463	2.275664	42.334000	40.910000	
0.100000	1.911166	2.063551	47.537998	45.980000	
0.100000	1.752981	1.823352	51.023998	50.480000	
0.100000	1.631087	1.781934	54.109997	52.750000	
0.100000	1.533728	1.716232	56.607998	54.149998	
0.100000	1.448581	1.752757	58.716000	53.270000	
0.100000	1.391032	1.610671	60.340000	56.329998	
0.100000	1.337947	1.670410	61.447998	55.129997	
0.100000	1.288577	1.699329	62.736000	55.419998	
0.100000	1.250033	1.774289	63.813999	54.459999	
0.100000	1.225140	1.527763	64.563995	59.469997	
0.100000	1.186800	1.520028	65.529999	58.969997	
0.100000	1.155317	1.602167	66.117996	57.919998	
0.100000	1.136783	1.452122	66.706001	60.849998	
0.100000	1.105046	1.430474	67.393997	61.059998	
0.100000	1.091851	1.616443	67.935997	58.439999	
0.100000	1.079904	1.575273	68.395996	58.969997	
0.100000	1.060877	1.430883	68.612000	61.739998	
0.100000	1.042386	1.493448	69.250000	59.959999	
0.100000	1.016396	1.505862	70.073997	60.459999	
0.100000	1.012580	1.485662	70.014000	60.849998	
0.100000	0.992852	1.414898	70.517998	62.129997	
0.100000	0.983216	1.537108	70.991997	60.879997	
0.100000	0.977977	1.556756	70.916000	59.369999	
0.100000	0.959869	1.514288	71.389999	61.230000	
0.100000	0.955775	1.526148	71.669998	60.500000	
0.100000	0.934788	1.499915	72.043999	61.259998	
0.100000	0.927054	1.401014	72.332001	63.959999	
0.100000	0.928225	1.360527	72.293999	63.359997	
0.100000	0.908547	1.563551	72.759995	60.359997	
0.100000	0.914850	1.550818	72.515999	60.949997	
0.100000	0.900529	1.432547	72.995995	63.329998	
0.100000	0.891367	1.477335	73.183998	62.789997	
0.100000	0.878662	1.414927	73.290001	62.699997	
0.100000	0.878541	1.526672	73.596001	61.619999	
0.100000	0.871378	1.452670	73.745995	62.269997	
0.100000	0.865808	1.403809	73.806000	62.959999	
0.100000	0.866192	1.553093	73.790001	60.559998	
0.100000	0.857998	1.405735	74.063995	62.579998	
0.100000	0.849088	1.377819	74.273994	63.579998	
0.100000	0.844646	1.363221	74.556000	64.290001	
0.100000	0.841341	1.348378	74.549995	64.959999	
0.100000	0.833921	1.397419	74.652000	63.359997	
0.100000	0.825723	1.532793	75.206001	61.959999	
0.100000	0.823027	1.406086	75.063995	63.329998	
0.100000	0.814092	1.367307	75.241997	65.419998	
0.100000	0.819047	1.367279	75.255997	63.919998	
0.100000	0.810551	1.359050	75.439995	64.510002	
0.100000	0.806603	1.369191	75.503998	64.360001	
0.100000	0.805571	1.362092	75.629997	64.930000	
0.100000	0.804363	1.492675	75.568001	62.759998	
0.100000	0.804679	1.418875	75.475998	63.059998	
0.100000	0.792572	1.464747	75.778000	63.070000	
0.100000	0.787687	1.369921	75.956001	65.209999	
0.100000	0.787625	1.566236	76.153999	62.500000	
0.100000	0.782782	1.341278	75.981995	65.419998	
0.100000	0.779553	1.483758	76.307999	62.709999	
0.100000	0.785558	1.386674	76.194000	64.540001	
0.100000	0.780903	1.555213	76.171997	62.019997	
0.100000	0.767606	1.411159	76.470001	63.989998	
0.100000	0.768055	1.428228	76.465996	64.209999	
0.100000	0.760966	1.307206	76.701996	66.019997	
0.100000	0.763480	1.416265	76.563995	64.519997	
0.100000	0.756019	1.399980	77.017998	64.909996	
0.100000	0.763948	1.422242	76.610001	63.139999	
0.100000	0.758453	1.570721	76.767998	61.389999	
0.100000	0.757868	1.379323	76.745995	64.129997	
0.100000	0.760541	1.433482	76.862000	63.349998	
0.100000	0.748709	1.432498	77.070000	63.799999	
0.100000	0.750047	1.349132	77.147995	65.229996	
0.100000	0.749741	1.589047	76.961998	61.869999	
0.100000	0.743138	1.360763	77.227997	65.250000	
0.100000	0.747177	1.383603	77.037994	64.159996	
0.100000	0.738996	1.298792	77.388000	67.080002	
0.100000	0.740166	1.473222	77.348000	63.519997	
0.100000	0.743091	1.469066	77.138000	63.379997	
0.100000	0.737142	1.403454	77.461998	64.430000	
0.100000	0.738024	1.331394	77.285995	64.860001	
0.100000	0.726906	1.306252	77.703995	66.570000	
0.100000	0.739614	1.328574	77.129997	65.470001	
0.100000	0.722106	1.371292	77.981995	64.169998	
0.100000	0.728414	1.346249	77.503998	65.379997	
0.100000	0.725187	1.452780	77.596001	64.400002	
0.100000	0.715011	1.416472	77.855995	64.589996	
0.100000	0.719349	1.497438	77.989998	63.559998	
0.100000	0.726958	1.417650	77.720001	65.389999	
0.100000	0.720827	1.374350	77.830002	64.619995	
0.100000	0.714463	1.316110	77.998001	66.919998	
0.100000	0.719020	1.371539	77.867996	65.540001	
0.100000	0.713139	1.358316	78.131996	65.239998	
0.100000	0.722386	1.287715	77.709999	66.260002	
0.100000	0.709276	1.326747	78.136002	66.169998	
0.100000	0.710659	1.374845	78.159996	65.339996	
0.100000	0.704845	1.476481	78.276001	64.750000	
0.100000	0.706414	1.379854	78.332001	66.019997	
0.100000	0.713312	1.387227	77.949997	65.250000	
0.100000	0.709244	1.353174	78.077995	65.779999	
0.100000	0.702887	1.295143	78.264000	66.459999	
0.100000	0.705907	1.330154	78.250000	65.939995	
0.100000	0.695470	1.320795	78.594002	65.570000	
0.100000	0.704344	1.563403	78.175995	62.379997	
0.100000	0.698838	1.417818	78.463997	64.250000	
0.100000	0.700332	1.503374	78.374001	63.329998	
0.100000	0.692367	1.364670	78.584000	65.159996	
0.100000	0.697962	1.390571	78.509995	65.250000	
0.100000	0.689412	1.501401	78.723999	63.849998	
0.100000	0.702778	1.320901	78.367996	66.089996	
0.100000	0.692877	1.316575	78.498001	66.320000	
0.100000	0.703596	1.442679	78.213997	63.849998	
0.100000	0.691800	1.398968	78.697998	65.479996	
0.100000	0.697387	1.343925	78.526001	65.629997	
0.100000	0.687540	1.276197	78.764000	66.959999	
0.100000	0.688726	1.335122	78.659996	66.159996	
0.100000	0.688379	1.485759	78.666000	63.469997	
0.100000	0.688426	1.459116	78.697998	64.119995	
0.100000	0.685492	1.354741	79.000000	65.290001	
0.100000	0.683854	1.351513	78.848000	65.659996	
0.100000	0.683217	1.323979	78.629997	65.570000	
0.100000	0.691299	1.384367	78.647995	64.570000	
0.100000	0.696266	1.406186	78.571999	65.279999	
0.100000	0.678715	1.378945	78.949997	64.869995	
0.100000	0.683855	1.404833	78.715996	65.199997	
0.100000	0.684384	1.308883	78.900002	65.739998	
0.100000	0.680600	1.327232	78.844002	65.739998	
0.100000	0.683077	1.441609	78.709999	64.540001	
0.100000	0.678346	1.339390	79.043999	65.820000	
0.100000	0.674747	1.294789	79.183998	66.139999	
0.100000	0.676902	1.275382	79.017998	67.099998	
0.100000	0.681299	1.712652	78.937996	60.599998	
0.100000	0.677693	1.302065	78.987999	66.629997	
0.100000	0.682200	1.500534	78.769997	63.199997	
0.100000	0.674129	1.360932	79.063995	65.479996	
0.100000	0.668836	1.293969	79.215996	67.000000	
0.100000	0.675058	1.326905	78.961998	65.510002	
0.100000	0.673654	1.417961	79.112000	64.400002	
0.100000	0.674649	1.412341	79.125999	64.739998	
0.100000	0.667218	1.327788	79.514000	66.000000	
0.100000	0.673787	1.334128	79.105995	66.309998	
0.100000	0.675389	1.266125	79.108002	66.799995	
0.100000	0.672580	1.235870	79.171997	67.639999	
0.100000	0.662265	1.364243	79.367996	66.070000	
0.100000	0.667540	1.280492	79.253998	66.669998	
0.100000	0.669356	1.484350	79.379997	63.250000	
0.100000	0.663432	1.323821	79.571999	66.150002	
0.100000	0.660359	1.346367	79.582001	65.839996	
0.100000	0.673646	1.391505	79.065994	65.809998	
0.100000	0.669794	1.383141	79.199997	65.019997	
0.010000	0.355108	0.874620	89.348000	76.040001	
0.010000	0.250345	0.877561	92.907997	76.650002	
0.010000	0.214111	0.883421	93.959999	76.720001	
0.010000	0.184186	0.890133	94.835999	77.099998	
0.010000	0.168019	0.897842	95.301994	76.599998	
0.010000	0.152394	0.922735	95.875999	76.549995	
0.010000	0.140806	0.928012	96.287994	76.659996	
0.010000	0.130756	0.943549	96.531998	76.379997	
0.010000	0.120026	0.960313	96.834000	76.409996	
0.010000	0.112617	0.951077	97.153999	76.529999	
0.010000	0.104328	0.961588	97.477997	76.529999	
0.010000	0.100713	0.979348	97.557999	76.799995	
0.010000	0.093827	0.987638	97.709999	76.779999	
0.010000	0.087680	0.992191	98.021996	76.709999	
0.010000	0.082777	1.003328	98.082001	76.650002	
0.010000	0.077954	1.011503	98.297997	76.430000	
0.010000	0.074866	1.018343	98.309998	76.360001	
0.010000	0.071251	1.014736	98.458000	76.459999	
0.010000	0.071549	1.027902	98.459999	76.379997	
0.010000	0.066952	1.034585	98.551994	76.589996	
0.010000	0.064480	1.035098	98.709999	76.320000	
0.010000	0.061786	1.038656	98.717995	76.299995	
0.010000	0.058954	1.054151	98.813995	76.150002	
0.010000	0.055592	1.064292	98.931999	76.250000	
0.010000	0.056065	1.057954	98.923996	76.269997	
0.010000	0.052244	1.058316	99.051994	76.570000	
0.010000	0.052234	1.074977	99.009995	76.139999	
0.010000	0.049842	1.069085	99.112000	76.610001	
0.010000	0.048739	1.075687	99.141998	76.360001	
0.010000	0.048361	1.072051	99.129997	76.509995	
0.010000	0.047102	1.087258	99.161995	76.389999	
0.010000	0.044823	1.075892	99.234001	76.139999	
0.010000	0.044347	1.078701	99.220001	76.259995	
0.010000	0.043586	1.079555	99.227997	76.540001	
0.010000	0.043475	1.088967	99.241997	76.269997	
0.010000	0.041887	1.100287	99.293999	76.269997	
0.010000	0.042734	1.082757	99.248001	76.379997	
0.010000	0.041094	1.100054	99.318001	76.089996	
0.010000	0.041443	1.113673	99.323997	75.769997	
0.010000	0.039720	1.092083	99.389999	76.330002	
0.010000	0.038326	1.102885	99.395996	76.470001	
0.010000	0.040250	1.093132	99.301994	76.290001	
0.010000	0.039063	1.101276	99.363998	76.349998	
0.010000	0.039074	1.102514	99.351997	76.449997	
0.010000	0.036167	1.095252	99.445999	76.389999	
0.010000	0.036990	1.098346	99.405998	76.519997	
0.010000	0.036283	1.110971	99.441994	76.369995	
0.010000	0.035357	1.106673	99.441994	76.019997	
0.010000	0.037413	1.099669	99.405998	75.889999	
0.010000	0.038540	1.105341	99.313995	76.139999	
0.010000	0.035923	1.116959	99.425995	75.799995	
0.010000	0.036095	1.116269	99.413994	75.879997	
0.010000	0.037784	1.118457	99.391998	75.959999	
0.010000	0.038079	1.101603	99.379997	76.279999	
0.010000	0.038080	1.122488	99.355995	75.759995	
0.010000	0.035166	1.102332	99.437996	76.189995	
0.010000	0.034076	1.099218	99.479996	76.309998	
0.010000	0.035376	1.106126	99.441994	76.119995	
0.010000	0.035259	1.106714	99.433998	76.150002	
0.010000	0.034970	1.093512	99.463997	76.000000	
